country,riesgo_encoded,riesgo_categoria,SuicideRate_BothSexes_RatePer100k_2021_norm,SuicideRate_Male_RatePer100k_2021_norm,SuicideRate_Female_RatePer100k_2021_norm,gender_ratio_2021_norm,avg_rate_3y_norm,tendencia_absoluta_norm,tendencia_porcentual_norm
Hungary,2,Alto,0.27413324269204625,0.2938913499650268,0.27388316151202746,0.18579649224676964,0.2619222303741746,0.9014522821576763,0.10651438134946901
Togo,1,Medio,0.12066621346023114,0.130916297505246,0.11134020618556702,0.2164909959651083,0.12089345398222874,0.8801867219917011,0.09023929033812675
Israel,0,Bajo,0.07426920462270566,0.08370249475402192,0.05738831615120276,0.28849628660994203,0.07328605200945627,0.8934993084370677,0.10030964791006733
Austria,2,Alto,0.23045547246770903,0.24667754721380278,0.2147766323024055,0.2072257261432809,0.22572756175103936,0.8915975103734439,0.1016956662750545
Belarus,2,Alto,0.3341264445955133,0.40219165306598276,0.2357388316151203,0.3606557627667756,0.32311621966794385,0.8829529737206085,0.09931280711554454
Switzerland,2,Alto,0.18592794017675052,0.1894380974586151,0.19690721649484538,0.15647700598693548,0.1922502105921035,0.8480290456431535,0.07872460732659861
Sierra Leone,0,Bajo,0.07324949014276003,0.06679878759617627,0.1027491408934708,0.0793749656194763,0.07904676503355888,0.8682572614107883,0.07230883633854626
Laos,0,Bajo,0.0756288239292998,0.07460946607600841,0.08762886597938145,0.1339488586415858,0.07382951550229615,0.8931535269709543,0.09988968257533781
Turkmenistan,1,Medio,0.15193745751189666,0.15609699230589882,0.14948453608247425,0.18016502846210924,0.12404554224069998,0.965594744121715,0.19719994987243483
Libya,0,Bajo,0.0805574439157036,0.07507577523898346,0.1027491408934708,0.1004305593674959,0.07209043232520855,0.9137275242047025,0.13398625275169593
Kyrgyzstan,1,Medio,0.143949694085656,0.15772907437631153,0.12439862542955328,0.24058053133463375,0.1276867476427271,0.9280774550484093,0.1370681522080956
Paraguay,1,Medio,0.08531611148878314,0.08685008160410354,0.08969072164948455,0.1638031985050305,0.08361185837341377,0.8926348547717842,0.09964508738038545
Nicaragua,1,Medio,0.083956492182189,0.0901142457449289,0.07903780068728523,0.20880983685086957,0.0736121301051602,0.9189142461964038,0.1436722224718091
Bulgaria,2,Alto,0.21278042148198506,0.22779202611331315,0.20756013745704469,0.19331765685898172,0.18545691693160513,0.9583333333333333,0.15306770387791713
Serbia,2,Alto,0.25713800135961934,0.26346467708090465,0.2670103092783505,0.16195727019081013,0.22523844460748346,0.9740663900414936,0.15630105859013857
El Salvador,1,Medio,0.12814411964649897,0.14140825367218468,0.12439862542955328,0.20573500646995335,0.10980679872829545,0.9344744121715075,0.15211677133360682
Republic of the Congo,1,Medio,0.14938817131203264,0.15493121939846122,0.15189003436426118,0.17356406547503167,0.12665416700633136,0.9491701244813278,0.16643086461137588
Denmark,2,Alto,0.17828008157715838,0.1757985544415948,0.20721649484536087,0.12507717120684392,0.17040297817994077,0.9059474412171507,0.11108391313311049
Singapore,1,Medio,0.11845683208701564,0.10503613896013057,0.16872852233676977,0.0652813617374248,0.13464308035107742,0.836445366528354,0.06336201087200682
Lebanon,0,Bajo,0.0027192386131883062,0.0,0.013402061855670102,0.041308136914391586,0.012744218907094915,0.8639349930843706,0.016308010243047746
Finland,2,Alto,0.2530591434398369,0.2655630683142924,0.2501718213058419,0.18285950387644762,0.24469443765115076,0.9024896265560165,0.10724192637655267
Liberia,1,Medio,0.0999320190346703,0.09547680111914199,0.12233676975945017,0.1112948646725658,0.08355751202412978,0.9334370677731673,0.16744687542117795
Norway,2,Alto,0.18524813052345343,0.17743063651200747,0.22542955326460484,0.1077053002945208,0.1813809407353061,0.8940179806362378,0.10270460015792506
Slovakia,2,Alto,0.19646498980285518,0.23467008626719515,0.11993127147766323,0.42304538555584353,0.18773946360153257,0.9002420470262793,0.10666759735777782
Palestine,0,Bajo,0.0,0.0006994637444625793,0.0003436426116838493,0.2647235021337337,0.0,0.8961791147994467,0.10489993898807151
Central African Republic,2,Alto,0.18456832087015634,0.2044765679645605,0.15567010309278353,0.2526033195721057,0.1812722480367381,0.8846818810511756,0.09696050597237181
Oman,0,Bajo,0.004418762746430998,0.0036138960130566566,0.001030927835051548,0.31498553193854534,0.025352571940979864,0.829356846473029,0.0
Ireland,1,Medio,0.1296736913664174,0.14595476801119142,0.10103092783505156,0.2870074303805293,0.13279530447542184,0.87551867219917,0.08767521002740464
New Zealand,2,Alto,0.17895989123045547,0.18407554208440197,0.18453608247422681,0.1664677258486349,0.1698595146871009,0.9014522821576763,0.10777009503816638
Mauritania,0,Bajo,0.04707681849082256,0.044299370482629996,0.06391752577319589,0.09940084527575008,0.04230863291758376,0.9038727524204702,0.1232209081067607
Costa Rica,1,Medio,0.15414683888511216,0.1887386337141525,0.08694158075601376,0.47330413506931174,0.13371919241324964,0.9263485477178423,0.13258390696730243
Kuwait,0,Bajo,0.020224337185588033,0.021799953369083705,0.015463917525773198,0.27122800010847403,0.02524387924241189,0.8800138312586445,0.061690660577434
Panama,0,Bajo,0.07647858599592115,0.08906505012823504,0.048109965635738834,0.38065661309528215,0.060895084372707284,0.9372406639004148,0.21244564383875722
Croatia,2,Alto,0.22994561522773624,0.24632781534157147,0.22199312714776634,0.1964551395142326,0.23165131382299395,0.8599585062240663,0.08721547546128232
Georgia,1,Medio,0.1335825968728756,0.15609699230589882,0.09896907216494846,0.32148445144160925,0.13214314828401402,0.8864107883817427,0.0960080631771809
Eritrea,1,Medio,0.15091774303195105,0.15166705525763582,0.16116838487972512,0.1519050051971051,0.15116437053340942,0.8746542185338865,0.08902202634456487
Mongolia,2,Alto,0.23470428280081576,0.28561436232221965,0.11924398625429554,0.5390511355511645,0.25056384337382137,0.8388658367911479,0.07962380918797268
Uruguay,2,Alto,0.34891230455472466,0.4130333411051527,0.23814432989690726,0.36849858392990215,0.32735523491209484,0.8979944674965421,0.10473312893576224
Puerto Rico,1,Medio,0.10740992522093813,0.1340638843553276,0.06013745704467354,0.47794411867156344,0.10352979538599495,0.8956604426002766,0.10358435736224968
Bosnia and Herzegovina,1,Medio,0.16859279401767502,0.18920494287712755,0.13711340206185568,0.2704092521116536,0.1673595826200375,0.8926348547717842,0.10162428886614669
Qatar,0,Bajo,0.05149558123725357,0.045465143390067624,0.0161512027491409,0.518145501149591,0.06067769897557132,0.8616874135546334,0.05873021528680378
Moldova,2,Alto,0.24031271244051663,0.29494054558172067,0.14123711340206188,0.4603009242313684,0.22871661096165863,0.8998962655601659,0.10602452940383665
